endid,endname,end_lat,end_long,geometry,zipcode
390,Indiana St at Cesar Chavez St,37.750435,-122.39045,POINT (-122.39045 37.750435),94107
391,1st St at Younger Ave,37.35503,-121.904434,POINT (-121.904434 37.35503),95112
392,Sonora Ave at 1st St,37.36406,-121.911736,POINT (-121.911736 37.36406),95110
393,Asbury St at The Alameda,37.338024,-121.91948,POINT (-121.91948 37.338024),95126
394,10th St at Empire St,37.349426,-121.88762,POINT (-121.88762 37.349426),95112
395,Kerley Dr at Rosemary St,37.360855,-121.90684,POINT (-121.90684 37.360855),95112
396,Metro Dr at Technology Dr,37.36768,-121.91879,POINT (-121.91879 37.36768),95110
397,Gish Rd at 1st St,37.361866,-121.90932,POINT (-121.90932 37.361866),95112
398,Leavenworth St at Broadway,37.79647,-122.416855,POINT (-122.416855 37.79647),94109
399,Bay St at Fillmore St,37.802635,-122.43629,POINT (-122.43629 37.802635),94123
4,Cyril Magnin St at Ellis St,37.78588,-122.40891,POINT (-122.40891 37.78588),94102
40,Laguna St at McAllister St,37.77921,-122.42683,POINT (-122.42683 37.77921),94102
400,Buchanan St at North Point St,37.80427,-122.43354,POINT (-122.43354 37.80427),94123
401,Skyport Dr at Technology Dr,37.365227,-121.91682,POINT (-121.91682 37.365227),95112
402,Raymond Bernal Jr Memorial Park (8th St at Hedding St),37.356834,-121.895935,POINT (-121.895935 37.356834),95112
403,10th St at Mission St,37.355694,-121.89225,POINT (-121.89225 37.355694),95112
404,21st St at Santa Clara St,37.34576,-121.87068,POINT (-121.87068 37.34576),95116
405,Sunol St at San Carlos St,37.323452,-121.905975,POINT (-121.905975 37.323452),95126
406,Parkmoor Ave at Race St,37.31674,-121.91,POINT (-121.91 37.31674),95126
407,Bird Ave at Coe Ave,37.31516,-121.897835,POINT (-121.897835 37.31516),95125
409,2100 Powell St,37.839542,-122.29872,POINT (-122.29872 37.839542),94608
41,Golden Gate Ave at Polk St,37.78127,-122.41874,POINT (-122.41874 37.78127),94102
410,Illinois St at Cesar Chavez St,37.7502,-122.386566,POINT (-122.386566 37.7502),94124
411,Octavia Blvd at Page St,37.774017,-122.423805,POINT (-122.423805 37.774017),94102
412,Glen Park BART Station,37.73281,-122.43414,POINT (-122.43414 37.73281),94131
413,Balboa Park BART Station,37.720554,-122.44772,POINT (-122.44772 37.720554),94112
415,Delmas Ave at Virginia St,37.319756,-121.893,POINT (-121.893 37.319756),95125
416,Auzerais Ave at Los Gatos Creek Trail,37.321182,-121.90309,POINT (-121.90309 37.321182),95126
417,Park Ave at Race St,37.32601,-121.91233,POINT (-121.91233 37.32601),95126
418,17th St at Santa Clara St,37.343987,-121.87438,POINT (-121.87438 37.343987),95112
419,Fern St at Polk St,37.788197,-122.42037,POINT (-122.42037 37.788197),94109
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823,POINT (-122.41823 37.77865),94102
421,23rd St at Taylor St,37.36,-121.87878,POINT (-121.87878 37.36),95112
422,Stockton Ave at Lenzen Ave,37.336773,-121.90915,POINT (-121.90915 37.336773),95126
423,South San Jose State (7th St at Humboldt St),37.320316,-121.8701,POINT (-121.8701 37.320316),95112
424,Greenwich St at Webster St,37.79921,-122.43412,POINT (-122.43412 37.79921),94123
425,Bird Ave at Willow St,37.311283,-121.896324,POINT (-121.896324 37.311283),95125
426,San Carlos St at Meridian Ave,37.323345,-121.9135,POINT (-121.9135 37.323345),95126
427,Auzerais Ave at Lincoln Ave,37.32097,-121.908295,POINT (-121.908295 37.32097),95126
428,Howard workshop - Station in a Box,37.774662,-122.416306,POINT (-122.416306 37.774662),94103
429,Prototype Lab,37.720036,-122.49524,POINT (-122.49524 37.720036),94132
43,San Francisco Public Library (Grove St at Hyde St),37.778767,-122.41593,POINT (-122.41593 37.778767),94102
431,Judson Ave at Gennessee St,37.728283,-122.45069,POINT (-122.45069 37.728283),94112
